,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,20.0,1234.0,1603182.9515383719,26.0,2194.0,2494285.035800266,8.0,26.0,2491970.7412546137,0.0
1,19.0,1325.0,1815588.7114214445,41.0,3059.0,2355632.9103327137,30.0,1347.0,2362689.758126794,0.0
2,20.0,1363.0,2352490.1878210516,29.0,2446.0,2454997.735719755,24.0,1008.0,2396013.800480864,0.0
3,10.0,834.0,1688574.9433350537,43.0,3058.0,2241199.008001501,24.0,1230.0,2414836.1413556603,0.0
4,10.0,207.0,2128646.3079305924,25.0,1333.0,2478215.0163851185,18.0,463.0,2152317.379761029,0.0
5,10.0,668.0,1731778.2267627893,28.0,1803.0,2450192.7834119457,13.0,382.0,2423544.902860542,0.0
6,10.0,879.0,2087588.7518012798,27.0,1818.0,2316081.1131895813,27.0,1511.0,2432872.6342330994,0.0
7,20.0,1094.0,2230951.388491719,31.0,1880.0,2442789.203723508,14.0,647.0,2346985.330459147,0.0
8,10.0,892.0,1966810.1096290294,34.0,3000.0,2494075.863770859,23.0,872.0,2478422.7009642757,0.0
9,26.0,1742.0,2170201.9205780015,45.0,2502.0,2492786.3075316916,28.0,779.0,2346838.618723085,0.0
10,20.0,1468.0,1579745.2221075294,25.0,2699.0,2489111.791727309,25.0,528.0,2358185.5935025867,0.0
11,10.0,861.0,1408615.6476717799,31.0,3415.0,2489240.9067303212,25.0,941.0,2475916.2680514217,0.0
12,10.0,83.0,2427199.228400488,33.0,2809.0,2417082.418068464,13.0,222.0,2470691.0451614256,0.0
