,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,19.0,1857.0,3197910.263135825,24.0,2127.0,4830545.233426546,22.0,1785.0,4498539.187109688,45.0
1,36.0,2894.0,4100967.4836374307,43.0,4258.0,4851595.252056673,29.0,1947.0,4948673.804459235,46.0
2,51.0,4312.0,4919860.54826247,42.0,4278.0,4934741.097977767,28.0,1374.0,4918621.041710134,52.0
3,17.0,1254.0,3928997.9522558367,27.0,2125.0,3734218.5432387944,26.0,1763.0,4939913.5737680225,35.0
4,31.0,1300.0,3855784.6382903312,24.0,1887.0,4976169.238372212,30.0,914.0,4818906.643452195,45.0
5,22.0,1712.0,4770662.097550246,26.0,3411.0,4263417.073912043,23.0,1948.0,4907021.220551168,37.0
6,50.0,3154.0,4963929.626461591,39.0,2463.0,4970488.362952152,29.0,1248.0,4542166.337619422,52.0
7,56.0,3020.0,4781356.750809201,41.0,2770.0,4702758.911446345,34.0,763.0,4323068.300504601,60.0
8,27.0,1654.0,4662633.907305529,37.0,3929.0,4937071.231522745,34.0,2457.0,4800780.029287029,44.0
9,16.0,927.0,4264060.454845573,16.0,927.0,4264060.454845572,20.0,1650.0,4978013.701845386,26.0
10,39.0,3189.0,4533366.7591948,43.0,3943.0,4795958.006715566,24.0,1220.0,4851946.374328132,46.0
11,38.0,2631.0,4299414.58239497,38.0,2631.0,4913378.173940908,29.0,1746.0,4816643.273225766,48.0
12,35.0,4915.0,4657209.913711709,35.0,4915.0,4210272.952517465,30.0,3308.0,4629317.354797059,39.0
